127.0.0.1 - - [03/Jul/2023:09:20:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:39 +0900] "GET /product.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:43 +0900] "GET /products.jsp HTTP/1.1" 200 2535
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:43 +0900] "GET /images/P1234.jpg HTTP/1.1" 200 70007
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:43 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:43 +0900] "GET /images/P1235.jpg HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:43 +0900] "GET /images/P1236.jpg HTTP/1.1" 200 46177
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:50 +0900] "GET /products.jsp HTTP/1.1" 200 2535
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:50 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:50 +0900] "GET /images/P1234.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:50 +0900] "GET /images/P1235.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:50 +0900] "GET /images/P1236.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:20:51 +0900] "GET /addProduct.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:21:10 +0900] "GET /product.jsp?productId=P1235 HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:26:45 +0900] "GET /addProduct.jsp HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:28:21 +0900] "GET /addProduct.jsp HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:28:21 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:28:25 +0900] "GET /addProduct.jsp HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:28:25 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:30:51 +0900] "GET /product.jsp?productId=P1234 HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:32:49 +0900] "GET /addProduct.jsp HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:32:54 +0900] "GET /welcome.jsp HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:34:17 +0900] "GET /addProduct.jsp HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:34:26 +0900] "GET /addProduct.jsp HTTP/1.1" 200 2704
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:34:26 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:34:32 +0900] "GET /addProduct.jsp HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:34:32 +0900] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:09:34:33 +0900] "POST /processAddProduct.jsp HTTP/1.1" 404 813
